,PM2.5,water_EQI_22July2013,land_EQI_22July2013,PCP Ratio,MHP Ratio,Dentist Ratio,FIPS,Latitude,Longitude,% Fair/Poor Health,Physically Unhealthy Days,Mentally Unhealthy Days,% No high school diploma,% Bachelors,Median household income,Healthcare Costs,Preventable Hosp. Rate,% Smokers,% Obese,Food Environment Index,% Physically Inactive,% Insufficient Sleep,% With Access to Exercise,% Excessive Drinking,% Alcohol-Impaired Driving,% Uninsured,% Diabetic,% Unemployed,Income Ratio,Violent Crime Rate,Injury Death Rate,% Severe Housing Problems,% Long Commute - Drives Alone,Years of Potential Life Lost Rate,Chlamydia Rate,perc_pop_fluo,PrescribingRate
847,9,-1.162219,0.5505425,1441,948,2134,19117,41.021148,-93.313045,12.50066225,2.941854939,3.165527464,7.843137255,1144.383416,46169,8119.2,3617,13.77152226,37.1,8.1,25.4,26.48455721,72.93773882,19.63188716,50,5.288246686,13,2.841429881,3.867086186,184.4061546,92.35742323,15.48913044,21.4,6549.640556,241.9,1,86.4
848,8.3,-1.46051,0.9227422,2939,11792,2358,19119,43.385265,-96.218544,10.97920148,2.680448277,2.979146182,4.166666667,1712.082539,61749,8441.18,3290,13.27271232,37.5,9,32.1,25.35677055,70.09757361,21.72873975,22.22222222,5.488815244,12.1,1.759153318,3.289271666,133.8368147,46.00756569,6.896551724,21.2,4804.82603,136.2,0.238216291,24.6
849,8.8,-1.123781,0.7045887,1585,1779,4003,19121,41.347064,-93.989405,11.5454343,2.905807772,3.141885648,4.938271605,1865.30102,66012,8151.24,4905,13.78882773,36.9,8.7,26.2,27.57878273,69.50698386,20.79218492,37.5,4.561696951,10.3,3.607937462,3.987377073,112.381197,63.55582108,8.674698795,50.3,5341.367097,241.2,1,76.2
850,9.6,0.4865089,0.8162336,1706,794,2471,19123,41.31208,-92.641016,12.26727531,2.979823202,3.229947477,8.510638298,3213.105266,55947,7673.35,3882,16.15404518,31.5,7.7,24.3,27.60751551,79.1430231,19.6494578,23.80952381,4.43269393,11.6,3.278688525,4.770280046,268.2043717,69.93822124,11.02493075,19.7,7119.047258,573.4,1,69.9
851,9.4,0.4686389,0.6293707,1144,1003,1576,19125,41.35483,-93.04269,11.19382052,2.777348626,3.057705536,3.209876543,4100.542265,61175,8300.6,3071,14.37515219,33.1,8.6,23.8,26.58777849,83.00159116,20.90392067,44.44444444,3.758399453,9.3,2.653284882,3.740695614,273.7552073,61.36999489,11.09399076,24.3,5424.846926,258.3,0.990476533,56.9
852,9.3,0.1097516,0.6141661,1832,630,2014,19127,42.031353,-92.938421,15.06535009,2.960793692,3.136623825,9.090909091,5825.481843,50495,7967.36,2249,14.4151775,34.3,8.7,26.3,26.13448948,81.64485338,18.10813081,35.71428571,7.555999251,11.6,4.614204296,3.776697456,452.0574724,76.76938673,10.75514874,14.8,6019.03151,498.2,0.973489372,67.6
853,9.1,-1.413254,0.7542882,1664,2153,2153,19129,41.04967,-95.695267,11.14895391,2.758512149,3.035181441,3.910614525,1927.991353,67016,9664.24,4364,15.16038119,35.5,8.7,26.3,25.89687812,59.72508135,22.83124402,25,4.088543818,10.4,2.77284524,4.018323742,286.5715923,61.65310745,8.425925926,41.4,5833.483251,276.2,0.881290961,49.2
854,8.2,-1.095738,0.7864892,5382,7872,2126,19131,43.336257,-92.803247,11.21691901,2.839292664,3.145289,4.580152672,1498.735944,54451,7327.65,2067,13.70623336,32.7,8.3,20.9,25.88961879,70.24870082,20.06887727,28.57142857,6.360593018,9.8,2.168256722,3.881472443,73.56186553,67.02163309,7.45412844,22,4770.315809,46.2,0.791196388,21.6
855,8.8,0.2058434,0.8860646,1112,1457,2913,19133,42.063026,-95.985135,13.55439707,3.121817328,3.355268195,10.09174312,1502.588571,49236,10437.95,5831,15.71807997,33.5,8,30.2,26.39004907,68.2354214,17.72596088,33.33333333,5.512645767,11.8,3.694690266,4.557119597,142.7003293,125.1844235,9.394313968,27.3,8315.823177,144.8,0,86.6
856,9.3,-1.524155,0.6095182,1968,3923,2615,19135,41.035615,-92.827682,13.92099862,3.100078607,3.353861944,3.703703704,847.5589665,52047,8179.55,5475,15.99888364,30.5,7.8,26,28.21472336,71.44291092,19.63478575,60,5.445544555,9.9,3.820512821,3.413977655,81.28048018,83.12133196,14.73684211,30.9,7503.078901,188.1,1,76.5
857,8.5,-1.383806,0.7972065,1461,1448,2027,19137,41.008619,-95.167995,14.77323,3.333880248,3.574571103,6.779661017,1470.366968,51317,10408.58,5612,16.30601114,32.4,7.7,26.6,28.03676709,82.13221602,19.30997494,25,5.99698265,12.3,3.169508526,4.389631128,424.0412979,50.54334092,11.17136659,20.7,7709.094864,371.3,0.956429727,83.8
858,11.2,0.5147525,0.5388814,2147,2382,2257,19139,41.464065,-91.078997,14.60449987,3.175727853,3.28872784,13.98058252,4358.315136,59042,8692.2,3728,15.10058182,34.1,8.6,21.2,29.48903388,80.70417593,21.59370006,23.07692308,5.651429694,9.2,3.313625739,3.886581844,429.3643313,53.12951484,11.9608443,15.9,5962.54265,406.9,0.924131165,56
859,8.5,-1.519549,0.912706,1753,2760,1533,19141,43.126413,-95.690881,12.37070332,2.881758133,3.176921744,15.76086956,2771.812064,60375,9147.91,3395,14.94676578,32.2,8.1,24,26.70113349,81.07376024,20.62137038,28.57142857,5.029961867,10.3,2.438417517,4.105779066,218.9047585,58.65102639,7.410491257,20.2,4720.512235,150.2,0.841619919,59.9
860,8.1,-1.468692,0.9554198,2021,914,6045,19143,43.38638,-95.680373,12.45135977,2.995383137,3.15342002,10.34482759,1150.563495,56459,8302.89,3475,14.21252998,33.4,8.6,27.7,27.04885852,61.96224079,19.43981532,30,6.547743966,10.6,2.095557418,4.171446666,89.7812602,87.97080673,9.737827715,17.1,7900.029674,178.7,0.338150289,33.9
861,9,-0.9563957,0.7604598,1399,761,952,19145,40.747616,-95.188476,14.54097942,3.249099008,3.327111067,3.825136612,2017.526554,47994,9604.99,4426,17.14072989,41.1,7.2,24,28.20130799,80.78081848,18.63104899,28.57142857,5.475397706,11.4,4.010184596,4.493708808,265.8539748,73.69006218,11.43764893,13.9,6691.506673,276.9,0.851441094,100.7
862,8.1,-1.380166,0.943382,3016,1137,4546,19147,43.099878,-94.690212,12.11353826,2.925991886,3.191100898,6.25,1902.008091,52311,8751.81,3765,14.34270967,35.1,8.1,23.3,26.71412223,81.4457064,19.58546068,14.28571429,4.989154013,11.1,2.691131499,3.70977182,290.9050991,107.5599262,11.32075472,18.4,7765.64825,197.1,0.580861943,34.1
863,8.9,0.2408642,1.271023,2520,870,2102,19149,42.747907,-96.203431,12.17491321,2.795859949,3.102492792,2.990033223,4362.527672,67056,8399.41,3159,13.8119866,33.7,9,25.6,25.8690083,75.55030817,21.40129797,33.33333333,4.767922236,9.2,2.422786548,3.611475965,102.5496662,52.77846639,7.253626813,22.2,5366.020071,274.2,0.329455729,42
864,8.5,0.1924824,0.8986796,3443,4873,1369,19151,42.745402,-94.700868,13.69411841,3.117469347,3.315175373,10.52631579,1185.636303,47919,7781.48,4050,15.34590332,34.9,8.1,27.7,27.75469553,71.49110807,19.14368477,66.66666667,6.011450382,11.6,2.476930549,4.426086957,113.6282935,57.09065997,8.13771518,26.1,6612.504688,85.6,0,58
865,8.6,0.457442,0.6114327,1049,424,1434,19153,41.623296,-93.641654,13.0478085,3.085555776,3.343762306,9.699129058,128696.8101,66112,7835.52,3662,17.44367231,29.4,8.3,19.3,30.11557275,92.86689578,21.27040109,26.66666667,5.068465055,8.3,3.069937052,4.225178248,391.8560047,65.52111771,14.2869246,16.8,6475.386276,587.1,0.996165759,70.1
